relative_minutes,T1,T2,T3,T4,PC1,PC2,PC3,total_cpu_rate
112,0.469471563,0.882947593,0.069756474,0.99756405,0.817351446,0.237134984,0.759316899,2043.220387
113,0.473319667,0.880890738,0.070378274,0.997520375,0.899640866,0.27806922,0.788407849,2130.032573
114,0.47715876,0.878817113,0.071000046,0.997476312,0.881135111,0.270832248,0.788421886,2136.94151
115,0.480988769,0.876726756,0.071621791,0.997431862,0.871507739,0.280363684,0.760204098,2201.94758
116,0.48480962,0.874619707,0.072243508,0.997387024,0.87864328,0.283277912,0.759873776,2205.913429
117,0.488621241,0.872496007,0.072865197,0.997341798,0.885648568,0.286146806,0.755087037,2209.160217
118,0.49242356,0.870355696,0.073486858,0.997296186,0.899094229,0.291628366,0.751592396,2218.557028
119,0.496216504,0.868198814,0.07410849,0.997250185,0.906492443,0.294342109,0.748786611,2219.334519
120,0.5,0.866025404,0.074730094,0.997203797,0.899079399,0.293395679,0.738465875,2178.429212
121,0.503773977,0.863835505,0.075351668,0.997157022,0.90493474,0.295347256,0.735595606,2175.791161
122,0.507538363,0.86162916,0.075973213,0.997109859,0.883645782,0.283661205,0.727243684,2165.189548
123,0.511293086,0.859406412,0.076594729,0.997062309,0.866523415,0.274401985,0.720512828,2158.30712
124,0.515038075,0.857167301,0.077216214,0.997014371,0.853650219,0.267458153,0.718087454,2153.604595
125,0.518773258,0.854911871,0.07783767,0.996966046,0.824781944,0.258915011,0.731332113,2141.93881
126,0.522498565,0.852640164,0.078459096,0.996917334,0.817283805,0.255623645,0.787844203,2135.354196
127,0.526213924,0.850352225,0.079080491,0.996868234,0.830501572,0.26289313,0.856944751,2135.060279
128,0.529919264,0.848048096,0.079701855,0.996818747,0.822419343,0.259251745,0.856374162,2135.48224
129,0.533614516,0.845727822,0.080323189,0.996768873,0.796687659,0.247714727,0.845273807,2127.522953
130,0.537299608,0.843391446,0.080944491,0.996718611,0.779755364,0.243645116,0.830002693,2254.630033
131,0.540974471,0.841039013,0.081565761,0.996667962,0.765088233,0.236468804,0.836520398,2247.05755
132,0.544639035,0.838670568,0.082187,0.996616926,0.783112753,0.24761307,0.93318514,2247.842667
133,0.54829323,0.836286156,0.082808208,0.996565502,0.780902055,0.247008351,0.932031737,2247.428586
134,0.551936985,0.833885822,0.083429382,0.996513692,0.767664602,0.24102722,0.913340686,2245.674155
135,0.555570233,0.831469612,0.084050525,0.996461494,0.756775421,0.236237802,0.897633026,2234.107062
136,0.559192903,0.829037573,0.084671635,0.996408909,0.710840969,0.208964223,0.769324268,2234.062598
137,0.562804928,0.826589749,0.085292712,0.996355937,0.706007935,0.208864815,0.67206945,2323.418077
138,0.566406237,0.824126189,0.085913756,0.996302578,0.67914273,0.194965191,0.623187771,2319.867306
139,0.569996763,0.821646938,0.086534766,0.996248832,0.860397439,0.276807027,0.873327578,2321.986498
140,0.573576436,0.819152044,0.087155743,0.996194698,0.926021368,0.311582276,0.973544192,2292.752186
141,0.57714519,0.816641555,0.087776686,0.996140178,0.92374709,0.310931295,0.976594355,2295.58333
142,0.580702956,0.814115518,0.088397595,0.99608527,0.922299621,0.308854325,0.969085639,2291.650653
